hash,content,template,keywords
a378a58964916a16b95b1505a9135cf7b134aab8bbac97e81419cb612f08c7a6,Disconnected from user fekaputr <*> port <*>,sepses:LogLine_94546794,user fekaputr
0cc9ab17fd7a4b08b99d8317bbb3ea65ffb9f61e7abac0dfe5c6e0c374c01f81,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; <*> <*> <*> <*>,sepses:LogLine_4ef4ebe6,
bf68c4b75e755339a50d3b47ede25693d692f9b24d651ed76bc49b49b44f2616,"Registered Authentication Agent for unix-process:<*>:<*> (system bus name :<*>.<*> [/usr/bin/pkttyagent --notify-fd <*> --fallback], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale C.UTF-<*>)",sepses:LogLine_d99aa8f9,Registered Authentication Agent|system bus name|object path
921ab5325f3e43a3ea37ce79900147a0f371f206b367f02f73b5950617270f95,Operator of unix-process:<*>:<*> successfully authenticated as unix-user:fekaputr to gain ONE-SHOT authorization for action org.freedesktop.systemd1.manage-units for system-bus-name::<*>.<*> [systemctl <*> apache2] (owned by unix-user:fekaputr),sepses:LogLine_cd0bc9b6,gain one-shot authorization|action org.freedesktop.systemd1.manage-unit
e5185da664895d5c1164433bb91a32ebae3c5bec86db59431edc032fdf8a8bba,"Unregistered Authentication Agent for unix-process:<*>:<*> (system bus name :<*>.<*>, object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale C.UTF-<*>) (disconnected from bus)",sepses:LogLine_35340d74,unregistered authentication Agent|system bus name|object path
b50e157fd953432caf558c28ce5090f388660fdbf8a9aa8fbaffef01359f5490,fekaputr : TTY=pts/<*> ; PWD=/var/www ; USER=root ; COMMAND=/bin/mv cv.html ekaw14-queries.html index.html links.html research.html teaching.html tester.html old-website/,sepses:LogLine_78b3fa21,cv.html ekaw14-queries.html index.html links.html research.html teaching.html tester.html old-website
105592460ce00706775fe954f9856b5da7f10eebf7c6b186c066094c400ef5d6,fekaputr : TTY=pts/<*> ; PWD=/var/www/wordpress ; USER=root ; COMMAND=/bin/chown www-data:www-data cityspin-net juang-id obaris-org -R,sepses:LogLine_4a8d65bf,www-data cityspin-net juang-id obaris-org
752078354543b1914f6b87306c2654cdc79201566f7d2880826d31ba52d54589,add 'fekaputr' to group 'www-data',sepses:LogLine,
471559fd94f54ffa69b98931ad63a59486697bf99b73f73cae1d8a39bc536e44,add 'fekaputr' to shadow group 'www-data',sepses:LogLine,shadow group
01a853dd413515e8630e9582fb5a289fdb1cbb36e22d4ca15496c7b58d9d48d5,"Unable to negotiate with <*> port <*>: no matching cipher found. Their offer: aes256-cbc,rijndael-cbc@lysator.liu.se,aes192-cbc,aes128-cbc,arcfour128,arcfour,3des-cbc,none [preauth]",sepses:LogLine_ce4ff18e,matching cipher find
ca745d3a10e9c9361c71a57785e48d0476746d722664bc1d51882b5f70a603aa,fekaputr : TTY=pts/<*> ; PWD=/var/log ; USER=root ; COMMAND=/bin/cp alternatives.log alternatives.log.<*> alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz apache2 apport.log apport.log.<*> apport.log.<*>.gz apport.log.<*>.gz apt auth.log auth.log.<*> auth.log.<*>.gz auth.log.<*>.gz auth.log.<*>.gz boot boot.log btmp btmp.<*> dbconfig-common denyhosts denyhosts.<*> denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz dist-upgrade dmesg dmesg.<*> dmesg.<*>.gz dmesg.<*>.gz dmesg.<*>.gz dmesg.<*>.gz dpkg.log dpkg.log.<*> dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz fail2ban.log fail2ban.log.<*> fail2ban.log.<*>.gz fail2ban.log.<*>.gz,sepses:LogLine_274644bc,alternatives.log alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz apache2 apport.log apport.log|gz apport.log|gz apt auth.log auth.log|gz auth.log|gz auth.log|gz boot boot.log btmp btmp|dbconfig-common denyhost denyhost|gz denyhost|gz denyhost|gz denyhost|gz denyhost|gz denyhost|gz dist-upgrade dmesg dmesg|gz dmesg|gz dmesg|gz dmesg|gz dpkg.log dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz fail2ban.log fail2ban.log|gz fail2ban.log
f5f53a2cb74a5998533fcad368d97c0d03e92592cd57643017170487f8894205,fekaputr : (command continued) fail2ban.log.<*>.gz faillog fontconfig.log fsck installer journal kern.log kern.log.<*> kern.log.<*>.gz kern.log.<*>.gz kern.log.<*>.gz landscape lastlog mail.err mail.log mongodb mysql mysql.err mysql.log mysql.log.<*>.gz mysql.log.<*>.gz mysql.log.<*>.gz mysql.log.<*>.gz mysql.log.<*>.gz mysql.log.<*>.gz mysql.log.<*>.gz news postgresql syslog syslog.<*> syslog.<*>.gz syslog.<*>.gz syslog.<*>.gz syslog.<*>.gz syslog.<*>.gz syslog.<*>.gz sysstat tallylog ufw.log ufw.log.<*> ufw.log.<*>.gz ufw.log.<*>.gz ufw.log.<*>.gz unattended-upgrades upgrade upstart vmware-install.log vmware-tools-upgrader.log vmware-vmsvc-root.<*>.log vmware-vmsvc-root.<*>.log vmware-vmsvc-root.<*>.log vmware-vmsvc-root.log vmware-vmsvc.<*>.log vmware-vmsvc.<*>.log vmware-vmsvc.<*>.log vmware-vmsvc.log vmware-vmtoolsd-root.log wtmp wtmp.<*> /home/fekaputr/log-backup/,sepses:LogLine_63bca440,command continue|gz faillog fontconfig.log fsck installer journal kern.log kern.log|gz kern.log|gz kern.log|gz landscape lastlog mail.err mail.log mongodb mysql mysql.err mysql.log mysql.log|gz mysql.log|gz mysql.log|gz mysql.log|gz mysql.log|gz mysql.log|gz mysql.log|gz news postgresql syslog syslog|gz syslog|gz syslog|gz syslog|gz syslog|gz syslog|gz sysstat tallylog ufw.log ufw.log|gz ufw.log|gz ufw.log|gz unattended-upgrades upgrade upstart vmware-install|log vmware-tools-upgrader|log vmware-vmsvc-root|log vmware-vmsvc-root|log vmware-vmsvc-root|log vmware-vmsvc-root|log vmware-vmsvc|log vmware-vmsvc|log vmware-vmsvc|log vmware-vmsvc|log vmware-vmtoolsd-root|log wtmp wtmp
158eb55b06f17a66688f3b45869ae86a300b284c32bd274f926f71551ae5cf5d,fekaputr : TTY=pts/<*> ; PWD=/var/log ; USER=root ; COMMAND=/bin/cp -rf alternatives.log alternatives.log.<*> alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz alternatives.log.<*>.gz apache2 apport.log apport.log.<*> apport.log.<*>.gz apport.log.<*>.gz apt auth.log auth.log.<*> auth.log.<*>.gz auth.log.<*>.gz auth.log.<*>.gz boot boot.log btmp btmp.<*> dbconfig-common denyhosts denyhosts.<*> denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz denyhosts.<*>.gz dist-upgrade dmesg dmesg.<*> dmesg.<*>.gz dmesg.<*>.gz dmesg.<*>.gz dmesg.<*>.gz dpkg.log dpkg.log.<*> dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz dpkg.log.<*>.gz fail2ban.log fail2ban.log.<*> fail2ban.log.<*>.gz fail2ban.log.<*>.gz,sepses:LogLine_a189c27a,rf alternatives.log alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz alternatives.log|gz apache2 apport.log apport.log|gz apport.log|gz apt auth.log auth.log|gz auth.log|gz auth.log|gz boot boot.log btmp btmp|dbconfig-common denyhost denyhost|gz denyhost|gz denyhost|gz denyhost|gz denyhost|gz denyhost|gz dist-upgrade dmesg dmesg|gz dmesg|gz dmesg|gz dmesg|gz dpkg.log dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz dpkg.log|gz fail2ban.log fail2ban.log|gz fail2ban.log
1d1b20a1e4ac4d18d334144e236ed19bfa9413a5697b2faca73ad10d3b5f9d51,Invalid user from <*> port <*>,sepses:LogLine_fd03fc20,invalid user
c5b4d01e3aee80b3bf9aecdfca24aa9446aabf5bc648a4144b965be45765c78a,Connection closed by invalid user <*> port <*> [preauth],sepses:LogLine_51e68d3a,connection close|invalid user
6a9b923a8de1d709bbcf094933fb287c377afa7aaecb62a2099a7fa91b4af83f,fekaputr : TTY=pts/<*> ; <*> ; USER=root ; COMMAND=/usr/bin/auditbeat setup -e -E <*> -E output.elasticsearch.hosts=[localhost:<*>] -E <*> -E <*> -E setup.kibana.host=localhost:<*>,sepses:LogLine_19a6fb73,
f764684bb7abd09a60161252be167bd8b63f032a1cd0c75d3724e6cdc629ad73,fekaputr : TTY=pts/<*> ; PWD=/etc/logstash ; USER=root ; COMMAND=/usr/bin/auditbeat setup -e -E output.file.enabled=true -E setup.kibana.host=localhost:<*>,sepses:LogLine_5e32d106,
